symptoms,disease,home_medication,doctor_prescription
vomiting cold,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat nausea chest pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose cold fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever chest pain sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue fever cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue diarrhea headache,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
runny nose fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat cold,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever runny nose sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea sore throat chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache diarrhea cough,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache cough sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever cold sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough runny nose cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting cough fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea fatigue fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat runny nose chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain nausea diarrhea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
headache diarrhea sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough runny nose chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever runny nose cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose vomiting fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough runny nose diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough runny nose fatigue,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
runny nose sore throat vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue chest pain diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever sore throat headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough cold headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
chest pain fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat vomiting runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
body pain fatigue diarrhea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
vomiting body pain fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
chest pain cough cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat fever,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea sore throat fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough fatigue,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting diarrhea runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea headache fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue cough headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea fatigue body pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat cough vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fever fatigue diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache fatigue,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
chest pain headache sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea cough vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting fatigue cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever cold,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
headache vomiting chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cold chest pain sore throat,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue cold,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue chest pain sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain cold vomiting,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue fever chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
body pain diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever fatigue cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat fatigue body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
runny nose fatigue body pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting chest pain headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea cold runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea fatigue vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold sore throat fatigue,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
runny nose fever diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose headache diarrhea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea cold,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
runny nose vomiting cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
chest pain body pain fever,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose vomiting cold,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain fatigue nausea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
fatigue sore throat headache,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
runny nose sore throat,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
chest pain,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea sore throat vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever vomiting,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain fatigue vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
diarrhea cough fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough runny nose,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea vomiting chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose headache,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough cold,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough sore throat headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
diarrhea cough fatigue,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue fever vomiting,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold vomiting chest pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache nausea sore throat,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
chest pain headache sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
chest pain body pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue fever body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat vomiting runny nose,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
diarrhea nausea cough,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain diarrhea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
fatigue vomiting cold,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold body pain diarrhea,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea vomiting fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting chest pain nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
chest pain runny nose cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
nausea,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cold chest pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
chest pain body pain vomiting,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fever runny nose sore throat,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cold sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea diarrhea cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cough body pain fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache chest pain fever,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue sore throat,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fatigue headache runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
nausea body pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue cold nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fever body pain,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
cold chest pain cough,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat chest pain diarrhea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
fatigue body pain headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
headache nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache chest pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough chest pain sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
headache,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cold nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
vomiting nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
runny nose body pain,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
body pain nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain nausea cough,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
sore throat diarrhea runny nose,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
diarrhea nausea body pain,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
sore throat chest pain fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
fatigue,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea diarrhea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
fever,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cold diarrhea nausea,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose fatigue fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
nausea,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
runny nose,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
chest pain cough,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cold cough,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
headache runny nose,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
sore throat vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
sore throat diarrhea fever,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
cold vomiting fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
body pain,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
nausea runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache fever,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
cough runny nose nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
vomiting fatigue,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cold,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
sore throat runny nose,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
headache cold fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
cough vomiting headache,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
runny nose fatigue,Common Cold,"Steam inhalation, warm water gargle",Cetirizine 10mg once daily at night for 3 days
vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
body pain headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
runny nose cold fever,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
headache fever runny nose,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
body pain chest pain headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
nausea,Migraine,"Rest in dark room, avoid screen",Paracetamol 650mg + Domperidone once during pain
cough diarrhea vomiting,Food Poisoning,"ORS, light food, fluids",ORS after every loose stool + Ondansetron 4mg if vomiting
cough body pain vomiting,Viral Infection,"Paracetamol 500mg, warm fluids, rest",Paracetamol 650mg twice daily after food for 3 days
fatigue headache,General Weakness,"Nutritious diet, rest",Multivitamin tablet once daily for 30 days
headache,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
sore throat,Heart Problem,Do not self-medicate,Immediate hospital visit – ECG and cardiologist consultation required
